FL_DATE,AIRLINE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,CRS_ARR_TIME,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,ORIGIN_CITY_MAXTEMP_C,ORIGIN_CITY_MINTEMP_C,ORIGIN_CITY_AVGTEMP_C,ORIGIN_CITY_MAXWIND_KPH,ORIGIN_CITY_TOTALPRECIP_MM,ORIGIN_CITY_AVGVIS_KM,ORIGIN_CITY_AVGHUMIDITY,ORIGIN_CITY_TEXT,ORIGIN_CITY_DAILY_CHANCE_OF_RAIN,ORIGIN_CITY_DAILY_CHANCE_OF_SNOW,DEST_CITY_MAXTEMP_C,DEST_CITY_MINTEMP_C,DEST_CITY_AVGTEMP_C,DEST_CITY_MAXWIND_KPH,DEST_CITY_TOTALPRECIP_MM,DEST_CITY_AVGVIS_KM,DEST_CITY_AVGHUMIDITY,DEST_CITY_TEXT,DEST_CITY_DAILY_CHANCE_OF_RAIN,DEST_CITY_DAILY_CHANCE_OF_SNOW
2023-05-18,American Airlines Inc.,19805,205,LAX,"Los Angeles, CA",OGG,"Kahului, HI",1710,1953,0.0,343.0,2486.0,25.5,14.6,19.1,15.5,0.0,10.0,61,Sunny,0,0,26.3,21.8,23.2,16.2,2.55,8.9,78,Patchy rain possible,100,0
2023-08-02,Southwest Airlines Co.,19393,985,PHX,"Phoenix, AZ",OAK,"Oakland, CA",1300,1450,0.0,110.0,646.0,43.4,31.5,37.3,17.5,0.0,10.0,25,Cloudy,0,0,21.4,12.3,15.9,22.3,0.0,10.0,83,Overcast,0,0
2023-06-21,Frontier Airlines Inc.,20436,1354,ATL,"Atlanta, GA",MDW,"Chicago, IL",2228,2328,0.0,120.0,591.0,23.6,18.7,20.8,19.7,55.15,9.5,84,Moderate or heavy rain shower,100,0,24.5,17.5,20.9,19.4,0.0,10.0,73,Partly cloudy,0,0
2023-06-18,Frontier Airlines Inc.,20436,2711,DFW,"Dallas/Fort Worth, TX",SFO,"San Francisco, CA",600,754,0.0,234.0,1464.0,35.6,24.0,29.5,22.5,6.95,9.8,54,Patchy rain possible,100,0,20.5,12.3,15.8,28.1,0.0,10.0,70,Sunny,0,0
2023-06-01,Republic Airline,20452,3540,MHT,"Manchester, NH",EWR,"Newark, NJ",608,739,0.0,91.0,209.0,33.8,13.2,23.3,7.2,0.0,10.0,53,Partly cloudy,0,0,30.7,14.2,22.1,15.1,0.0,10.0,52,Sunny,0,0
2023-08-31,Delta Air Lines Inc.,19790,531,LAX,"Los Angeles, CA",DTW,"Detroit, MI",2300,630,0.0,270.0,1979.0,30.9,20.2,25.2,16.2,0.0,10.0,54,Partly cloudy,0,0,24.9,12.2,17.7,11.2,0.0,10.0,58,Sunny,0,0
2023-08-08,American Airlines Inc.,19805,1876,CLT,"Charlotte, NC",MKE,"Milwaukee, WI",2234,2336,0.0,122.0,651.0,31.4,20.7,25.9,11.4,0.0,7.8,68,Overcast,0,0,28.1,17.4,22.6,14.8,0.9,10.0,59,Patchy rain possible,100,0
2023-07-18,Republic Airline,20452,4301,JFK,"New York, NY",CLE,"Cleveland, OH",1459,1708,1.0,129.0,425.0,29.8,22.7,25.9,19.1,13.4,9.6,74,Moderate or heavy rain shower,100,0,25.2,18.4,21.7,14.4,1.0,9.8,72,Cloudy,100,0
2023-08-27,Spirit Air Lines,20416,2176,PHL,"Philadelphia, PA",BNA,"Nashville, TN",1120,1231,0.0,131.0,675.0,31.1,19.7,24.3,14.4,0.0,10.0,59,Partly cloudy,0,0,32.0,22.1,26.2,14.0,4.1,9.3,75,Light rain shower,100,0
2023-06-30,SkyWest Airlines Inc.,20304,4735,ORD,"Chicago, IL",ROA,"Roanoke, VA",1410,1710,0.0,120.0,531.0,25.2,20.0,22.7,12.2,1.6,6.5,89,Heavy rain at times,100,0,30.6,16.6,23.2,10.1,5.0,9.6,70,Moderate or heavy rain shower,100,0
2023-06-13,American Airlines Inc.,19805,1681,ELP,"El Paso, TX",DFW,"Dallas/Fort Worth, TX",1647,1939,0.0,112.0,551.0,32.6,19.3,26.6,24.5,0.0,10.0,11,Overcast,0,0,33.3,21.8,26.3,18.2,37.65,9.8,68,Moderate or heavy rain shower,100,0
2023-06-25,Southwest Airlines Co.,19393,2950,DEN,"Denver, CO",BZN,"Bozeman, MT",835,1015,0.0,100.0,524.0,27.5,9.9,19.7,14.4,0.0,10.0,51,Cloudy,0,0,21.5,4.6,14.1,8.6,0.3,9.8,71,Cloudy,100,0
2023-07-25,Republic Airline,20452,5639,PIT,"Pittsburgh, PA",JFK,"New York, NY",1140,1330,0.0,110.0,340.0,29.4,16.8,23.0,7.2,7.7,9.9,64,Moderate or heavy rain shower,100,0,30.0,22.0,24.8,14.4,25.6,9.8,69,Moderate or heavy rain shower,100,0
2023-06-06,Hawaiian Airlines Inc.,19690,184,LIH,"Lihue, HI",HNL,"Honolulu, HI",1025,1104,1.0,39.0,102.0,26.0,22.5,24.1,14.8,0.0,10.0,72,Partly cloudy,0,0,28.7,22.3,25.0,13.7,0.3,10.0,69,Patchy rain possible,100,0
2023-08-02,United Air Lines Inc.,19977,740,BNA,"Nashville, TN",IAH,"Houston, TX",615,825,0.0,130.0,657.0,27.9,19.3,23.5,11.5,0.1,9.7,64,Overcast,100,0,40.2,26.3,32.4,22.3,0.0,10.0,58,Cloudy,0,0
2023-07-08,Envoy Air,20398,3343,MAF,"Midland/Odessa, TX",DFW,"Dallas/Fort Worth, TX",810,931,0.0,81.0,309.0,36.8,21.0,29.7,28.7,1.1,10.0,49,Partly cloudy,100,0,36.2,25.7,30.7,18.0,0.0,9.9,53,Cloudy,0,0
2023-08-15,Envoy Air,20398,3659,ORD,"Chicago, IL",MCI,"Kansas City, MO",835,1014,0.0,99.0,403.0,23.0,17.6,19.8,30.2,1.6,9.8,76,Patchy rain possible,100,0,27.5,15.0,20.3,18.0,0.0,9.0,70,Overcast,0,0
2023-07-01,Delta Air Lines Inc.,19790,1661,PHX,"Phoenix, AZ",SEA,"Seattle, WA",1345,1653,0.0,188.0,1107.0,45.3,25.0,36.3,19.4,0.0,10.0,10,Sunny,0,0,26.4,13.5,18.6,17.3,0.0,10.0,58,Cloudy,0,0
2023-08-30,United Air Lines Inc.,19977,1428,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",735,856,0.0,81.0,236.0,34.3,19.0,27.3,15.1,0.0,10.0,46,Cloudy,0,0,42.0,26.7,34.0,30.6,0.0,10.0,17,Sunny,0,0
2023-06-04,Southwest Airlines Co.,19393,5158,FAT,"Fresno, CA",LAS,"Las Vegas, NV",610,725,0.0,75.0,259.0,36.2,20.3,28.0,14.8,0.2,10.0,28,Partly cloudy,100,0,36.3,21.4,29.6,16.5,0.0,10.0,13,Sunny,0,0
2023-06-23,United Air Lines Inc.,19977,2300,PBI,"West Palm Beach/Palm Beach, FL",EWR,"Newark, NJ",1900,2159,0.0,179.0,1023.0,29.4,26.9,27.5,38.5,1.6,10.0,88,Patchy rain possible,100,0,24.2,16.7,20.8,19.8,9.0,6.8,89,Moderate or heavy rain shower,100,0
